gen-r5c;-1;2024-05-11 21:02:39 UTC;LINUX-RESTART	(4 CPU)
# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
gen-r5c;10;2024-05-11 21:08:21 UTC;1;59.58;0.00;36.23;0.10;0.00;2.00;0.80;0.00;0.00;1.30
gen-r5c;10;2024-05-11 21:08:21 UTC;2;60.92;0.00;34.80;0.00;0.00;1.99;0.90;0.00;0.00;1.40
gen-r5c;10;2024-05-11 21:08:21 UTC;3;60.06;0.00;35.96;0.00;0.00;1.89;0.90;0.00;0.00;1.20
gen-r5c;10;2024-05-11 21:08:31 UTC;-1;62.51;0.00;33.29;0.02;0.00;1.99;0.82;0.00;0.00;1.37
gen-r5c;10;2024-05-11 21:08:31 UTC;0;61.69;0.00;33.63;0.00;0.00;2.09;0.80;0.00;0.00;1.79
gen-r5c;10;2024-05-11 21:08:31 UTC;1;59.84;0.00;36.08;0.00;0.00;1.99;0.89;0.00;0.00;1.19
gen-r5c;10;2024-05-11 21:08:31 UTC;2;64.88;0.00;31.24;0.00;0.00;1.89;0.80;0.00;0.00;1.19
gen-r5c;10;2024-05-11 21:08:31 UTC;3;63.62;0.00;32.21;0.10;0.00;1.99;0.80;0.00;0.00;1.29
gen-r5c;10;2024-05-11 21:08:41 UTC;-1;60.52;0.00;35.17;0.10;0.00;1.97;0.85;0.00;0.00;1.39
gen-r5c;10;2024-05-11 21:08:41 UTC;0;62.75;0.00;32.57;0.10;0.00;2.09;0.80;0.00;0.00;1.69
gen-r5c;10;2024-05-11 21:08:41 UTC;1;65.01;0.00;31.41;0.10;0.00;1.89;0.80;0.00;0.00;0.80
gen-r5c;10;2024-05-11 21:08:41 UTC;2;57.55;0.00;37.97;0.10;0.00;1.99;0.89;0.00;0.00;1.49
gen-r5c;10;2024-05-11 21:08:41 UTC;3;56.77;0.00;38.75;0.10;0.00;1.89;0.90;0.00;0.00;1.59
gen-r5c;10;2024-05-11 21:08:51 UTC;-1;60.54;0.00;35.23;0.07;0.00;1.99;0.82;0.00;0.00;1.35
gen-r5c;10;2024-05-11 21:08:51 UTC;0;61.95;0.00;33.27;0.00;0.00;2.09;0.80;0.00;0.00;1.89
gen-r5c;10;2024-05-11 21:08:51 UTC;1;59.26;0.00;36.95;0.10;0.00;1.99;0.80;0.00;0.00;0.90
gen-r5c;10;2024-05-11 21:08:51 UTC;2;59.66;0.00;36.16;0.10;0.00;1.89;0.90;0.00;0.00;1.29
gen-r5c;10;2024-05-11 21:08:51 UTC;3;61.28;0.00;34.53;0.10;0.00;2.00;0.80;0.00;0.00;1.30
gen-r5c;10;2024-05-11 21:09:01 UTC;-1;61.18;0.00;29.82;0.05;0.00;1.90;0.77;0.00;0.00;6.29
gen-r5c;10;2024-05-11 21:09:01 UTC;0;64.17;0.00;25.45;0.00;0.00;2.00;0.70;0.00;0.00;7.68
gen-r5c;10;2024-05-11 21:09:01 UTC;1;63.21;0.00;28.91;0.10;0.00;1.89;0.80;0.00;0.00;5.08
gen-r5c;10;2024-05-11 21:09:01 UTC;2;58.58;0.00;34.03;0.00;0.00;1.90;0.80;0.00;0.00;4.69
gen-r5c;10;2024-05-11 21:09:01 UTC;3;58.74;0.00;30.87;0.10;0.00;1.80;0.80;0.00;0.00;7.69
gen-r5c;10;2024-05-11 21:09:11 UTC;-1;21.60;0.00;17.52;0.07;0.00;0.95;0.62;0.00;0.00;59.23
gen-r5c;10;2024-05-11 21:09:11 UTC;0;25.57;0.00;16.38;0.00;0.00;1.00;0.70;0.00;0.00;56.34
gen-r5c;10;2024-05-11 21:09:11 UTC;1;24.42;0.00;16.08;0.10;0.00;1.01;0.50;0.00;0.00;57.89
gen-r5c;10;2024-05-11 21:09:11 UTC;2;19.68;0.00;17.20;0.10;0.00;0.89;0.60;0.00;0.00;61.53
gen-r5c;10;2024-05-11 21:09:11 UTC;3;16.73;0.00;20.44;0.10;0.00;0.90;0.70;0.00;0.00;61.12
gen-r5c;10;2024-05-11 21:09:22 UTC;-1;46.08;0.00;19.53;0.00;0.00;1.45;0.68;0.00;0.00;32.27
gen-r5c;10;2024-05-11 21:09:22 UTC;0;38.34;0.00;21.32;0.00;0.00;1.40;0.70;0.00;0.00;38.24
gen-r5c;10;2024-05-11 21:09:22 UTC;1;48.55;0.00;17.02;0.00;0.00;1.40;0.70;0.00;0.00;32.33
gen-r5c;10;2024-05-11 21:09:22 UTC;2;59.84;0.00;18.58;0.00;0.00;1.60;0.60;0.00;0.00;19.38
