# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
mz7010-som-base-2020-2;10;2024-05-15 00:24:36;-1;44.53;0.05;47.63;0.00;0.00;0.00;0.00;0.00;0.00;7.79
mz7010-som-base-2020-2;10;2024-05-15 00:24:46;-1;26.72;0.05;27.47;4.14;0.00;0.00;0.00;0.00;0.00;41.63
mz7010-som-base-2020-2;11;2024-05-15 00:24:57;-1;47.05;0.10;52.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:25:07;-1;21.29;0.05;25.11;4.22;0.00;0.00;0.00;0.00;0.00;49.33
mz7010-som-base-2020-2;10;2024-05-15 00:25:17;-1;57.13;0.00;42.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:25:27;-1;45.65;0.10;50.92;0.00;0.00;0.00;0.00;0.00;0.00;3.33
mz7010-som-base-2020-2;10;2024-05-15 00:25:37;-1;24.08;0.25;24.03;4.32;0.00;0.00;0.00;0.00;0.00;47.32
mz7010-som-base-2020-2;11;2024-05-15 00:25:48;-1;47.69;0.05;52.22;0.00;0.00;0.00;0.05;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:25:58;-1;23.45;0.10;25.19;1.44;0.00;0.00;0.00;0.00;0.00;49.83
mz7010-som-base-2020-2;10;2024-05-15 00:26:08;-1;49.38;0.10;47.84;2.69;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;11;2024-05-15 00:26:19;-1;50.26;0.10;48.93;0.00;0.00;0.00;0.00;0.00;0.00;0.71
mz7010-som-base-2020-2;10;2024-05-15 00:26:29;-1;27.09;0.05;18.84;4.27;0.00;0.00;0.00;0.00;0.00;49.75
mz7010-som-base-2020-2;11;2024-05-15 00:26:39;-1;51.84;0.05;48.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:26:49;-1;27.01;0.10;24.68;0.00;0.00;0.00;0.00;0.00;0.00;48.22
mz7010-som-base-2020-2;10;2024-05-15 00:27:00;-1;47.70;0.10;45.92;4.26;0.00;0.00;0.00;0.00;0.00;2.03
mz7010-som-base-2020-2;11;2024-05-15 00:27:10;-1;51.42;0.05;48.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:27:20;-1;26.18;0.05;18.34;4.26;0.00;0.00;0.00;0.00;0.00;51.17
mz7010-som-base-2020-2;10;2024-05-15 00:27:30;-1;50.45;0.05;49.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:27:40;-1;29.43;0.05;31.51;0.00;0.00;0.00;0.00;0.00;0.00;39.01
