arm;-1;2024-05-12 14:36:30;LINUX-RESTART	(6 CPU)
# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;kbanonpg;kbslab;kbkstack;kbpgtbl;kbvmused
arm;10;2024-05-12 14:57:33;1575688;2946220;616284;15.63;43880;1578000;3555184;90.14;522376;1420092;8104;531056;130116;7680;15276;31676
arm;10;2024-05-12 14:57:43;1571940;2947112;615612;15.61;43896;1582424;3555184;90.14;522388;1424684;12532;531148;130096;7696;15324;31660
arm;10;2024-05-12 14:57:53;1560408;2939620;623160;15.80;43912;1586324;3555184;90.14;522412;1428584;196;531148;130164;7696;15324;31692
arm;10;2024-05-12 14:58:03;1559308;2942868;619760;15.71;43932;1590564;3555208;90.14;522432;1432784;3756;531144;130404;7696;15328;31708
arm;10;2024-05-12 14:58:13;1558756;2946808;615688;15.61;43948;1594952;3555216;90.14;522448;1437156;8104;531156;130624;7664;15324;31676
arm;10;2024-05-12 14:58:23;1554628;2947184;615084;15.60;43964;1599300;3555216;90.14;522464;1441524;4164;531156;130992;7664;15336;31676
arm;10;2024-05-12 14:58:33;1551744;2948804;613764;15.56;43980;1603668;3555216;90.14;522480;1445732;1804;531008;130812;7648;15328;31660
arm;10;2024-05-12 14:58:43;1543508;2945124;617516;15.66;43996;1608092;3555216;90.14;522496;1450304;6228;531152;130856;7648;15328;31660
arm;10;2024-05-12 14:58:53;1540304;2945220;617248;15.65;44028;1611268;3555216;90.14;522528;1453488;160;531156;131120;7664;15332;31660
arm;10;2024-05-12 14:59:03;1497824;2907064;655636;16.62;44212;1615184;3580456;90.78;536012;1467424;504;554396;131112;7648;15256;31668
arm;10;2024-05-12 14:59:13;1464440;2895248;667296;16.92;45796;1633488;3592136;91.08;535568;1496708;1864;563444;132948;7712;15400;31684
arm;10;2024-05-12 14:59:23;1470820;2915572;646708;16.40;46464;1645700;3547668;89.95;538004;1499852;744;556088;134276;7696;15336;31684
arm;10;2024-05-12 14:59:33;1450744;2900612;661688;16.78;47180;1649216;3548476;89.97;538156;1504064;2652;556184;135140;7664;15228;31700
arm;10;2024-05-12 14:59:43;1440304;2932004;630208;15.98;47876;1689312;3527368;89.44;545780;1514584;3460;533428;136268;7688;15240;31652
arm;10;2024-05-12 14:59:53;1402684;2898808;663316;16.82;48332;1692728;3548880;89.98;547280;1539708;2060;556300;136908;7712;15348;31772
